Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Field8,Field4,Field7,Field6,Field5
1,Antenna symbol with extra pin for shielding,Antenna_Shield,AE1,Antenna_Shield,U.FL-R-SMT,1,,,,,,
2,single battery cell,Battery_Cell,BT1,Battery_Cell,Keystone_3000_1x12mm-CoinCell,1,,,,,,
3,Polarised capacitor,CP,C9,0.1uF,C_0805,1,,,,,,
4,Unpolarized capacitor,C,C1 C2 C3 C6 C7 C8 C10 C12 C13 C14 C15 C22 C25 C26 C27 C28 C29 C32 C33,100nF,C_0805,19,,,,,,
5,Unpolarized capacitor,C,C34,10nF 16V,C_0805,1,,,,,,
6,Polarised capacitor,CP,C11,10uF,C_0805,1,,,,,,
7,Unpolarized capacitor,C,C24 C30 C31,10uF,C_0805,3,,,,,,
8,Unpolarized capacitor,C,C18,120pF 50V,C_0805,1,,,,,,
9,Unpolarized capacitor,C,C4 C5,22pF,C_0805,2,,,,,,
10,Unpolarized capacitor,C,C16 C17 C23,22uF,C_0805,3,,,,,,
11,Unpolarized capacitor,C,C19,4.7uF,C_0805,1,,,,,,
12,Unpolarized capacitor,C,C20,6.8nF 50V,C_0805,1,,,,,,
13,Unpolarized capacitor,C,C21,8.2nF,C_0805,1,,,,,,
14,Schottky diode,D_Schottky,D5,0.55V 1A,D_SOD-123F,1,,,,,,
15,Diode,D,D4,30V 1.5A 400mV Vf,D_SOD-323,1,,,,,,
16,LED generic,LED,D1 D2 D3,LED,LED_0805,3,,,,,,
17,"Generic connector, single row, 01x02",Conn_01x02,J17,CHARGE_A,TerminalBlock_bornier-2_P5.08mm,1,,,,,,
18,"Generic connector, single row, 01x02",Conn_01x02,J19,CHARGE_B,TerminalBlock_bornier-2_P5.08mm,1,,,,,,
19,"Generic connector, single row, 01x02",Conn_01x02,J18,CHARGE_C,TerminalBlock_bornier-2_P5.08mm,1,,,,,,
20,"Generic connector, single row, 01x01",Conn_01x01,J14,Conn_01x01,Pin_Header_Straight_1x01_Pitch2.54mm,1,,,,,,
21,"Generic connector, single row, 01x03",Conn_01x03,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10,Conn_01x03,Pin_Header_Straight_1x03_Pitch2.54mm,10,,,,,,
22,"Generic connector, single row, 01x03",Conn_01x03,J16,Conn_01x03,JST_XH_S03B-XH-A_03x2.50mm_Angled,1,,,,,,
23,"Generic connector, single row, 01x04",Conn_01x04,J20,Conn_01x04,JST_XH_B04B-XH-A_04x2.50mm_Straight,1,,,,,,
24,"Generic connector, single row, 01x05",Conn_01x05,J13,Conn_01x05,JST_XH_B05B-XH-A_05x2.50mm_Straight,1,,,,,,
25,"Generic connector, single row, 01x06",Conn_01x06,J11,Conn_01x06,Socket_Strip_Straight_1x06_Pitch2.54mm,1,,,,,,
26,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x05_Odd_Even,J12,Conn_02x05_Odd_Even,Pin_Header_Straight_2x05_Pitch2.54mm,1,,,,,,
27,Micro SD Card Socket,Micro_SD_Card,J15,Micro_SD_Card,microSD_Card_Receptacle_Wuerth_693072010801,1,http://katalog.we-online.de/em/datasheet/693072010801.pdf,,,,,
28,"Dual Jumper, normally closed",Jumper_NC_Dual,JP1,Jumper_NC_Dual,Pin_Header_Straight_1x03_Pitch2.54mm,1,,,,,,
